skeleton,n_treenodes_left,n_inputs_left,n_outputs_left,n_treenodes_right,n_inputs_right,n_outputs_right
8245014,0,0,0,1967,129,54
8245146,0,0,0,1838,77,7
8245513,0,0,0,2388,180,57
8245692,0,0,0,2459,222,96
8245869,0,0,0,2034,150,70
8246081,0,0,0,3522,236,118
8246750,0,0,0,2116,158,55
8247315,0,0,0,255,0,1
8247451,0,0,0,1975,150,55
8248631,0,0,0,2087,142,60
8248706,2498,122,70,0,0,0
8419602,0,0,0,3312,212,86
8764750,0,0,0,673,8,1
8765298,1306,39,11,0,0,0
8765865,0,0,0,294,0,0
8766921,0,0,0,933,15,1
8773165,0,0,0,263,0,0
8773716,0,0,0,123,0,0
8773879,0,0,0,839,9,0
8792120,0,0,0,1842,53,7
8792477,830,40,42,1518,86,15
